Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Channel Sales,NTB,2019Q3,3956.92,3397.75,0.58,0.42,32,132,YES
Key Accounts,Bali,2019Q3,6782.36,3524.75,0.29,0.29,50,254,YES
Sales Analytics,Jawa,2019Q3,2690.16,4844.35,0.34,0.26,21,86,NO
Customer Success,Sumatra,2019Q3,1461.24,4125.76,0.11,0.27,11,43,NO
Sales Training,Kalimantan,2019Q3,8222.15,9705.53,0.29,0.31,55,242,NO
Strategic Partnerships,Papua,2019Q3,919.34,9069.4,0.49,0.3,4,20,NO
Sales Support,Sulawesi,2019Q3,9312.49,6818.25,0.2,0.33,71,168,YES
Retail Sales,NTB,2019Q3,12353.41,8627.23,0.25,0.19,156,660,YES
E-commerce Sales,Bali,2019Q3,874.79,9265.32,0.14,0.26,6,18,NO
Enterprise Sales,Jawa,2019Q3,8820.03,4100.08,0.27,0.15,62,229,YES
International Sales,Sumatra,2019Q3,7930.43,2424.25,0.32,0.29,56,94,YES
Sales Administration,Kalimantan,2019Q3,1050.76,1498.22,0.43,0.47,8,33,NO
Sales Engineering,Papua,2019Q3,3304.83,2543.82,0.56,0.52,24,123,YES
Sales Operations,Sulawesi,2019Q3,3057.68,8517.65,0.1,0.17,21,33,NO
Inside Sales,NTB,2019Q3,476.24,8249.35,0.2,0.19,3,14,NO
Outside Sales,Bali,2019Q3,12581.91,4451.17,0.14,0.17,130,308,YES
Account Management,Jawa,2019Q3,3308.36,2406.91,0.09,0.16,23,78,YES
Business Development,Sumatra,2019Q3,8858.49,6913.45,0.21,0.15,62,124,YES
Sales Enablement,Kalimantan,2019Q3,3221.17,2936.17,0.36,0.54,23,98,YES
Channel Sales,Papua,2019Q3,552.51,3013.76,0.24,0.5,2,7,NO
Key Accounts,Sulawesi,2019Q3,6814.3,5600.24,0.41,0.24,56,159,YES
Sales Analytics,NTB,2019Q3,9626.38,9091.61,0.34,0.32,80,269,YES
Customer Success,Bali,2019Q3,10586.8,3401.12,0.31,0.27,80,281,YES
Sales Training,Jawa,2019Q3,8691.65,6506.97,0.47,0.33,72,130,YES
Strategic Partnerships,Sumatra,2019Q3,2388.38,3534.36,0.27,0.3,15,30,NO
Sales Support,Kalimantan,2019Q3,12433.01,3260.7,0.29,0.29,140,671,YES
Retail Sales,Papua,2019Q3,7333.35,3863.66,0.14,0.18,47,118,YES
E-commerce Sales,Sulawesi,2019Q3,9263.46,6869.04,0.29,0.3,69,279,YES
Enterprise Sales,NTB,2019Q3,468.05,6411.51,0.23,0.15,2,3,NO
International Sales,Bali,2019Q3,1819.47,5529.21,0.39,0.24,13,48,NO
Sales Administration,Jawa,2019Q3,1506.92,1849,0.68,0.47,12,50,NO
Sales Engineering,Sumatra,2019Q3,3192.71,2136.24,0.2,0.41,21,78,YES
Sales Operations,Kalimantan,2019Q3,11899.81,7937.02,0.09,0.24,80,269,YES
Inside Sales,Papua,2019Q3,6494.81,7909.49,0.14,0.23,47,82,NO
Outside Sales,Sulawesi,2019Q3,9243.73,5006.84,0.25,0.19,64,128,YES
Account Management,NTB,2019Q3,7179.54,6111.92,0.15,0.15,46,151,YES
Business Development,Bali,2019Q3,4884.78,2863.06,0.26,0.2,34,144,YES
Sales Enablement,Jawa,2019Q3,1553.87,1450.14,0.4,0.5,12,34,YES
Channel Sales,Sumatra,2019Q3,2710.9,2785.22,0.28,0.44,21,58,NO
Key Accounts,Kalimantan,2019Q3,12285.66,2932.59,0.21,0.26,116,505,YES
Sales Analytics,Papua,2019Q3,10770.22,4678.09,0.28,0.28,78,211,YES
Customer Success,Sulawesi,2019Q3,6181.14,6402.92,0.33,0.24,42,67,NO
Sales Training,NTB,2019Q3,1782.61,10080.55,0.4,0.38,12,61,NO
Strategic Partnerships,Bali,2019Q3,13312.43,7153.35,0.16,0.3,104,371,YES
Sales Support,Jawa,2019Q3,5063.88,9412,0.22,0.35,36,177,NO
Retail Sales,Sumatra,2019Q3,1788.37,4353.88,0.2,0.21,12,48,NO
E-commerce Sales,Kalimantan,2019Q3,10986.67,11220.94,0.36,0.31,86,228,NO
Enterprise Sales,Papua,2019Q3,4789.46,2527.4,0.21,0.17,34,103,YES
International Sales,Sulawesi,2019Q3,1273.82,6806,0.21,0.23,8,40,NO
Sales Administration,NTB,2019Q3,3339.49,1864.07,0.61,0.52,23,83,YES
Sales Engineering,Bali,2019Q3,1753.22,1102.66,0.32,0.43,12,24,YES
Sales Operations,Jawa,2019Q3,10382.65,3896.04,0.25,0.18,77,170,YES
Inside Sales,Sumatra,2019Q3,1733.67,8816.09,0.3,0.18,12,32,NO
Outside Sales,Kalimantan,2019Q3,7624.77,2863.89,0.18,0.19,63,286,YES
Account Management,Papua,2019Q3,298.32,4702.19,0.17,0.17,2,5,NO
Business Development,Sulawesi,2019Q3,1367.23,1994.27,0.28,0.18,7,18,NO
Sales Enablement,NTB,2019Q3,4544.73,1502.83,0.76,0.4,34,76,YES
Channel Sales,Bali,2019Q3,2817.15,2196.02,0.34,0.46,21,89,YES
Key Accounts,Jawa,2019Q3,8473.59,7958.87,0.17,0.25,63,282,YES
Sales Analytics,Sumatra,2019Q3,635.17,4050.63,0.43,0.3,2,5,NO
Customer Success,Kalimantan,2019Q3,1850.72,5322.55,0.21,0.29,12,35,NO
Sales Training,Papua,2019Q3,1280.67,5483.24,0.33,0.35,7,17,NO
Strategic Partnerships,Sulawesi,2019Q3,13262.46,5236.82,0.44,0.29,112,553,YES
Sales Support,NTB,2019Q3,6321.07,8729.32,0.39,0.26,45,139,NO
Retail Sales,Bali,2019Q3,5177.99,8365.6,0.21,0.18,42,203,NO
E-commerce Sales,Jawa,2019Q3,9290.27,6322.1,0.17,0.31,69,222,YES
Enterprise Sales,Sumatra,2019Q3,5041.03,2855.83,0.11,0.18,37,141,YES
International Sales,Kalimantan,2019Q3,6347.78,4712.99,0.24,0.29,43,220,YES
Sales Administration,Papua,2019Q3,830.72,818.86,0.29,0.47,4,21,YES
Sales Engineering,Sulawesi,2019Q3,1459.91,1245.31,0.36,0.47,11,55,YES
Sales Operations,NTB,2019Q3,7139.52,9304.24,0.2,0.18,50,109,NO
Inside Sales,Bali,2019Q3,2106.11,8412.8,0.19,0.23,15,51,NO
Outside Sales,Jawa,2019Q3,6985.82,3958.1,0.25,0.18,47,214,YES
Account Management,Sumatra,2019Q3,7307.05,7290.96,0.26,0.19,54,234,YES
Business Development,Kalimantan,2019Q3,6512.92,1924.66,0.22,0.2,39,113,YES
Sales Enablement,Papua,2019Q3,496.86,2846.43,0.34,0.52,3,8,NO
Channel Sales,Sulawesi,2019Q3,817.28,3649.96,0.52,0.44,4,13,NO
Key Accounts,NTB,2019Q3,6302.89,3688.8,0.35,0.3,42,101,YES
Sales Analytics,Bali,2019Q3,2359.05,6835.07,0.21,0.24,15,57,NO
Customer Success,Jawa,2019Q3,1107.02,2418.31,0.1,0.25,10,28,NO
Sales Training,Sumatra,2019Q3,2009.7,9518.16,0.34,0.27,12,39,NO
Strategic Partnerships,Kalimantan,2019Q3,1553.84,4131.9,0.3,0.29,12,50,NO
Sales Support,Papua,2019Q3,7747.16,9082.55,0.45,0.33,58,197,NO
Retail Sales,Sulawesi,2019Q3,8313.82,3186.53,0.21,0.23,64,186,YES
E-commerce Sales,NTB,2019Q3,14820.74,6310.78,0.14,0.26,149,549,YES
Enterprise Sales,Bali,2019Q3,1681.62,4195.31,0.12,0.19,12,47,NO
International Sales,Jawa,2019Q3,1932.23,7111.82,0.37,0.24,13,48,NO
Sales Administration,Sumatra,2019Q3,1998.26,2395.14,0.25,0.49,12,32,NO
Sales Engineering,Kalimantan,2019Q3,2712.43,2613.7,0.49,0.49,17,27,YES
Sales Operations,Papua,2019Q3,7350.91,5400.33,0.18,0.21,54,130,YES
Inside Sales,Sulawesi,2019Q3,7504.11,3918.21,0.3,0.17,63,327,YES
Outside Sales,NTB,2019Q3,2234.37,8228.07,0.26,0.23,15,69,NO
Account Management,Bali,2019Q3,849.97,4245.16,0.21,0.17,6,20,NO
Business Development,Jawa,2019Q3,2190.58,7119.97,0.08,0.17,17,73,NO
Sales Enablement,Sumatra,2019Q3,703.01,3281.27,0.7,0.46,7,11,NO
Channel Sales,Kalimantan,2019Q3,3195.08,2795.46,0.34,0.42,24,56,YES
Key Accounts,Papua,2019Q3,2191.14,7742.9,0.12,0.26,15,40,NO
Sales Analytics,Sulawesi,2019Q3,14386.7,11156.06,0.17,0.23,98,321,YES
Customer Success,NTB,2019Q3,5937.68,3325.75,0.35,0.24,42,142,YES
Sales Training,Bali,2019Q3,6628.1,2882.11,0.39,0.35,45,219,YES
Strategic Partnerships,Jawa,2019Q3,11238.15,7289.46,0.17,0.35,89,338,YES
Sales Support,Sumatra,2019Q3,3298.29,4824.66,0.49,0.33,23,36,NO
Retail Sales,Kalimantan,2019Q3,12003.85,3697.69,0.2,0.22,94,205,YES
E-commerce Sales,Papua,2019Q3,8172.25,2926.79,0.12,0.23,63,267,YES
Enterprise Sales,Sulawesi,2019Q3,7683.31,2234.91,0.24,0.19,55,293,YES
International Sales,NTB,2019Q3,10250.22,5637.11,0.22,0.21,76,250,YES
Sales Administration,Bali,2019Q3,3722.66,1852,0.41,0.4,28,52,YES
Sales Engineering,Jawa,2019Q3,3727.75,1218,0.47,0.41,28,140,YES
Sales Operations,Sumatra,2019Q3,9916.28,3625.3,0.17,0.2,80,131,YES
Inside Sales,Kalimantan,2019Q3,12270.01,9606.35,0.31,0.17,101,387,YES
Outside Sales,Papua,2019Q3,1934.86,8636.34,0.23,0.17,13,47,NO
Account Management,Sulawesi,2019Q3,3897.9,6008.78,0.15,0.15,26,63,NO
Business Development,NTB,2019Q3,835.62,3263.81,0.16,0.21,6,25,NO
Sales Enablement,Bali,2019Q3,3660.29,1577.41,0.36,0.6,25,93,YES
Channel Sales,Jawa,2019Q3,2120.21,2625.63,0.36,0.52,12,54,NO
Key Accounts,Sumatra,2019Q3,9927.13,8438.07,0.32,0.32,71,148,YES
Sales Analytics,Kalimantan,2019Q3,12008.35,2905.43,0.19,0.22,82,262,YES
Customer Success,Papua,2019Q3,4212.44,6758.53,0.11,0.3,29,60,NO
Sales Training,Sulawesi,2019Q3,1647.72,8104.87,0.3,0.39,10,36,NO
Strategic Partnerships,NTB,2019Q3,5018.56,7574.58,0.29,0.29,34,66,NO
Sales Support,Bali,2019Q3,6454.14,9237.02,0.47,0.33,45,161,NO
Retail Sales,Jawa,2019Q3,5377.7,7292,0.32,0.22,37,116,NO
E-commerce Sales,Sumatra,2019Q3,11306.59,8138.16,0.24,0.24,88,269,YES
Enterprise Sales,Kalimantan,2019Q3,9462.82,6298.58,0.1,0.18,73,162,YES
International Sales,Papua,2019Q3,1482.65,3607.9,0.32,0.23,12,45,NO
Sales Administration,Sulawesi,2019Q3,1849.57,1511.81,0.52,0.41,15,74,YES
Sales Engineering,NTB,2019Q3,3260.7,1983.65,0.59,0.38,23,88,YES
Sales Operations,Bali,2019Q3,3314.97,4042.72,0.09,0.17,24,51,NO
Inside Sales,Jawa,2019Q3,3049.49,8380,0.25,0.22,24,55,NO
Outside Sales,Sumatra,2019Q3,6114.74,9694.58,0.18,0.21,43,89,NO
Account Management,Kalimantan,2019Q3,8132.14,6588.06,0.22,0.2,55,198,YES
Business Development,Papua,2019Q3,6226.75,4830.87,0.24,0.15,41,78,YES
Sales Enablement,Sulawesi,2019Q3,4245.82,2704.76,0.78,0.6,30,49,YES
Channel Sales,NTB,2019Q3,1348.32,1152.93,0.4,0.58,10,18,YES
Key Accounts,Bali,2019Q3,5882.64,9351.28,0.17,0.23,43,74,NO
Sales Analytics,Jawa,2019Q3,6891.06,5171.11,0.12,0.29,49,85,YES
Customer Success,Sumatra,2019Q3,4841.88,7001.15,0.33,0.29,33,151,NO
Sales Training,Kalimantan,2019Q3,2685.39,6292.7,0.43,0.38,19,52,NO
Strategic Partnerships,Papua,2019Q3,1117.65,6109.67,0.26,0.39,10,27,NO
Sales Support,Sulawesi,2019Q3,11324.35,7042.86,0.3,0.31,94,289,YES
Retail Sales,NTB,2019Q3,9835.5,4358.46,0.14,0.18,81,258,YES
E-commerce Sales,Bali,2019Q3,8093.46,10407.21,0.39,0.23,59,177,NO
Enterprise Sales,Jawa,2019Q3,4529.35,6734.24,0.2,0.14,34,99,NO
International Sales,Sumatra,2019Q3,5447.41,5842.16,0.24,0.3,41,90,NO
Sales Administration,Kalimantan,2019Q3,115.95,2552.25,0.38,0.52,3,12,NO
Sales Engineering,Papua,2019Q3,2109.71,1074.15,0.23,0.52,12,27,YES
Sales Operations,Sulawesi,2019Q3,803.46,7922.47,0.3,0.18,6,21,NO
Inside Sales,NTB,2019Q3,3903.17,8644.35,0.31,0.17,28,120,NO
Outside Sales,Bali,2019Q3,247.69,3708.27,0.1,0.21,2,3,NO
Account Management,Jawa,2019Q3,849.5,1961.24,0.25,0.2,7,18,NO
Business Development,Sumatra,2019Q3,1580.12,4713.85,0.27,0.2,11,24,NO
Sales Enablement,Kalimantan,2019Q3,2253.26,2942.58,0.56,0.52,19,52,NO
Channel Sales,Papua,2019Q3,2387.26,1389.25,0.46,0.44,16,49,YES
Key Accounts,Sulawesi,2019Q3,8570.34,10630.54,0.19,0.32,71,257,NO
Sales Analytics,NTB,2019Q3,13522.11,2942.88,0.37,0.24,93,274,YES
Customer Success,Bali,2019Q3,7490.72,3019.79,0.14,0.2,63,142,YES
Sales Training,Jawa,2019Q3,5562.53,3727.48,0.23,0.33,41,178,YES
Strategic Partnerships,Sumatra,2019Q3,4391.25,6812.36,0.14,0.31,30,49,NO
Sales Support,Kalimantan,2019Q3,11168.74,7318.97,0.33,0.35,94,167,YES
Retail Sales,Papua,2019Q3,3389.79,7477.02,0.22,0.21,23,112,NO
E-commerce Sales,Sulawesi,2019Q3,14454.13,7880.82,0.4,0.24,128,266,YES
Enterprise Sales,NTB,2019Q3,3963.15,5698.17,0.19,0.2,32,78,NO
International Sales,Bali,2019Q3,8807.47,7488.42,0.11,0.3,67,333,YES
Sales Administration,Jawa,2019Q3,752.9,2492.46,0.67,0.5,6,17,NO
Sales Engineering,Sumatra,2019Q3,2882.35,2246.67,0.72,0.38,17,64,YES
Sales Operations,Kalimantan,2019Q3,7173.24,8422.1,0.23,0.18,54,234,NO
Inside Sales,Papua,2019Q3,9483.94,4853.11,0.22,0.18,71,165,YES
Outside Sales,Sulawesi,2019Q3,11579.69,4547.77,0.14,0.18,80,420,YES
Account Management,NTB,2019Q3,884.36,2845.96,0.18,0.2,3,14,NO
Business Development,Bali,2019Q3,515.8,6912.02,0.26,0.16,3,12,NO
Sales Enablement,Jawa,2019Q3,1468.85,1302.99,0.2,0.56,12,39,YES
Channel Sales,Sumatra,2019Q3,1654.31,2617.54,0.78,0.42,12,23,NO
Key Accounts,Kalimantan,2019Q3,14788.09,7255.29,0.36,0.28,124,644,YES
Sales Analytics,Papua,2019Q3,14032.27,11113.83,0.31,0.26,115,306,YES
Customer Success,Sulawesi,2019Q3,10056.68,7937.58,0.35,0.23,78,217,YES
Sales Training,NTB,2019Q3,6409.07,4720.76,0.35,0.3,43,138,YES
Strategic Partnerships,Bali,2019Q3,1863.82,9276.33,0.18,0.31,13,28,NO
Sales Support,Jawa,2019Q3,13032.06,3205.96,0.21,0.31,94,437,YES
Retail Sales,Sumatra,2019Q3,3045.9,9303.89,0.26,0.22,23,66,NO
E-commerce Sales,Kalimantan,2019Q3,1265.44,8537.51,0.19,0.3,7,12,NO
Enterprise Sales,Papua,2019Q3,9370.75,5308.15,0.2,0.16,71,200,YES
International Sales,Sulawesi,2019Q3,8300.42,3559.92,0.33,0.23,54,279,YES
Sales Administration,NTB,2019Q3,2477.83,836.2,0.27,0.49,17,84,YES
Sales Engineering,Bali,2019Q3,809.09,2090.51,0.45,0.52,6,14,NO
Sales Operations,Jawa,2019Q3,8356.14,8040.56,0.26,0.18,64,234,YES
Inside Sales,Sumatra,2019Q3,8196.8,6436.47,0.19,0.19,59,103,YES
Outside Sales,Kalimantan,2019Q3,8547.14,7281.62,0.22,0.18,72,244,YES
Account Management,Papua,2019Q3,570.38,6269.26,0.26,0.2,3,9,NO
Business Development,Sulawesi,2019Q3,257.81,2693.84,0.22,0.17,3,12,NO
Sales Enablement,NTB,2019Q3,2240.11,3613.71,0.68,0.52,15,43,NO
Channel Sales,Bali,2019Q3,571.88,2219.29,0.78,0.4,2,7,NO
Key Accounts,Jawa,2019Q3,4884.2,3083.57,0.17,0.24,30,79,YES
Sales Analytics,Sumatra,2019Q3,575.26,8630.88,0.19,0.32,2,6,NO
Customer Success,Kalimantan,2019Q3,10516.68,2384.76,0.1,0.2,72,283,YES
Sales Training,Papua,2019Q3,8269.49,9291.79,0.17,0.34,63,111,NO
Strategic Partnerships,Sulawesi,2019Q3,942.33,10152.07,0.45,0.38,3,11,NO
Sales Support,NTB,2019Q3,1785.59,10219.45,0.13,0.38,13,70,NO
Retail Sales,Bali,2019Q3,7082.47,9162.62,0.19,0.17,46,117,NO
E-commerce Sales,Jawa,2019Q3,1955.11,5311.72,0.26,0.29,13,31,NO
Enterprise Sales,Sumatra,2019Q3,1691.44,3834.73,0.27,0.2,10,31,NO
International Sales,Kalimantan,2019Q3,9354.2,7535.14,0.15,0.23,77,320,YES
Sales Administration,Papua,2019Q3,580.45,1465.91,0.54,0.43,2,3,NO
Sales Engineering,Sulawesi,2019Q3,3433.74,1796.08,0.2,0.45,26,103,YES
Sales Operations,NTB,2019Q3,7552.09,4750.32,0.15,0.24,63,155,YES
Inside Sales,Bali,2019Q3,2436.83,7616.05,0.29,0.19,19,44,NO
Outside Sales,Jawa,2019Q3,8569.87,9338.5,0.25,0.18,72,354,NO
Account Management,Sumatra,2019Q3,766.55,3877.65,0.18,0.17,6,10,NO
Business Development,Kalimantan,2019Q3,3122.21,6153.05,0.15,0.15,24,109,NO
Sales Enablement,Papua,2019Q3,4073.96,3643.79,0.76,0.48,33,104,YES
Channel Sales,Sulawesi,2019Q3,361.76,2241.38,0.56,0.5,2,6,NO
Key Accounts,NTB,2019Q3,2531.72,10475.68,0.39,0.22,19,44,NO
Sales Analytics,Bali,2019Q3,1837.18,5325.54,0.36,0.23,15,42,NO
Customer Success,Jawa,2019Q3,611.61,2439.21,0.29,0.26,2,4,NO
Sales Training,Sumatra,2019Q3,10175.98,8468.91,0.31,0.26,73,250,YES
Strategic Partnerships,Kalimantan,2019Q3,10063.9,2723.5,0.23,0.38,77,255,YES
Sales Support,Papua,2019Q3,12607.48,7508.47,0.49,0.26,93,483,YES
Retail Sales,Sulawesi,2019Q3,9116.18,2530.93,0.14,0.18,62,238,YES
E-commerce Sales,NTB,2019Q3,3513.07,5819.79,0.21,0.26,25,94,NO
Enterprise Sales,Bali,2019Q3,9217.92,5978.75,0.27,0.15,72,257,YES
International Sales,Jawa,2019Q3,2658.84,7020.87,0.39,0.27,16,41,NO
Sales Administration,Sumatra,2019Q3,2414.96,949.05,0.23,0.41,15,77,YES
Sales Engineering,Kalimantan,2019Q3,2763.67,1222.99,0.58,0.47,21,75,YES
Sales Operations,Papua,2019Q3,4336.49,5823.44,0.3,0.22,33,129,NO
Inside Sales,Sulawesi,2019Q3,7521.36,3205.25,0.16,0.23,55,289,YES
Outside Sales,NTB,2019Q3,10611.53,3525.07,0.25,0.19,88,328,YES
Account Management,Bali,2019Q3,3029.24,6397.75,0.18,0.15,24,81,NO
Business Development,Jawa,2019Q3,1378.4,4865.66,0.15,0.2,6,20,NO
Sales Enablement,Sumatra,2019Q3,1026.24,1991.06,0.36,0.52,7,31,NO
Channel Sales,Kalimantan,2019Q3,3221,2487.49,0.48,0.6,21,112,YES
Key Accounts,Papua,2019Q3,9456.95,8822.07,0.3,0.29,80,396,YES
Sales Analytics,Sulawesi,2019Q3,2503.72,5909.59,0.21,0.3,17,30,NO
Customer Success,NTB,2019Q3,7914.57,4066.36,0.2,0.28,63,155,YES
Sales Training,Bali,2019Q3,5517.12,8062.3,0.17,0.29,39,88,NO
Strategic Partnerships,Jawa,2019Q3,535.02,9444.85,0.47,0.31,2,7,NO
Sales Support,Sumatra,2019Q3,11504.22,9425.92,0.47,0.27,86,315,YES
Retail Sales,Kalimantan,2019Q3,7206.21,5511.7,0.28,0.21,54,93,YES
E-commerce Sales,Papua,2019Q3,11712.26,5388.67,0.4,0.26,85,134,YES
Enterprise Sales,Sulawesi,2019Q3,533.85,4498.86,0.17,0.17,2,7,NO
International Sales,NTB,2019Q3,6321.87,5234.61,0.22,0.29,43,149,YES
Sales Administration,Bali,2019Q3,1980.36,1770.93,0.34,0.4,12,22,YES
Sales Engineering,Jawa,2019Q3,3106.81,2027.39,0.68,0.49,23,40,YES
Sales Operations,Sumatra,2019Q3,11561.22,6234.95,0.16,0.22,91,189,YES
Inside Sales,Kalimantan,2019Q3,2189.45,7970.02,0.22,0.17,15,41,NO
Outside Sales,Papua,2019Q3,7418.29,5342.38,0.12,0.18,50,103,YES
Account Management,Sulawesi,2019Q3,9609.54,3587.13,0.19,0.2,72,234,YES
Business Development,NTB,2019Q3,6823.78,6121.13,0.12,0.19,55,280,YES
Sales Enablement,Bali,2019Q3,3878.58,1089.9,0.64,0.42,25,90,YES
Channel Sales,Jawa,2019Q3,1769.09,1267.82,0.38,0.5,15,31,YES
Key Accounts,Sumatra,2019Q3,9997.03,11161.06,0.13,0.25,81,240,NO
Sales Analytics,Kalimantan,2019Q3,11585.02,10902.61,0.31,0.24,81,218,YES
Customer Success,Papua,2019Q3,9865.49,4526.09,0.12,0.26,75,360,YES
Sales Training,Sulawesi,2019Q3,6359.67,8075.01,0.22,0.3,49,248,NO
Strategic Partnerships,NTB,2019Q3,6417.61,6017.38,0.27,0.29,47,149,YES
Sales Support,Bali,2019Q3,12807.46,7841.21,0.42,0.26,114,579,YES
Retail Sales,Jawa,2019Q3,1710.92,7443.4,0.32,0.22,8,41,NO
E-commerce Sales,Sumatra,2019Q3,14539.97,10485.84,0.14,0.26,146,575,YES
Enterprise Sales,Kalimantan,2019Q3,5260.34,6290.08,0.17,0.19,41,215,NO
International Sales,Papua,2019Q3,9707.82,4184.98,0.29,0.25,69,141,YES
Sales Administration,Sulawesi,2019Q3,3489.44,960.51,0.7,0.5,28,66,YES
Sales Engineering,NTB,2019Q3,3558.02,2751.67,0.2,0.45,26,132,YES
Sales Operations,Bali,2019Q3,4344.33,3108.05,0.29,0.22,29,84,YES
Inside Sales,Jawa,2019Q3,7006.49,2563.51,0.28,0.16,52,168,YES
Outside Sales,Sumatra,2019Q3,8880.6,4964.93,0.19,0.17,69,123,YES
Account Management,Kalimantan,2019Q3,3190.42,4766.59,0.27,0.15,21,44,NO
Business Development,Papua,2019Q3,6094.87,2397.54,0.23,0.15,41,204,YES
Sales Enablement,Sulawesi,2019Q3,3685.43,1758.36,0.28,0.6,25,101,YES
Channel Sales,NTB,2019Q3,3360.63,1123.56,0.24,0.48,21,53,YES
Key Accounts,Bali,2019Q3,5935.01,6510.88,0.42,0.26,49,257,NO
Sales Analytics,Jawa,2019Q3,2504.43,8826.33,0.26,0.28,16,57,NO
Customer Success,Sumatra,2019Q3,878.6,4165.55,0.18,0.29,4,19,NO
Sales Training,Kalimantan,2019Q3,4845.2,10304.34,0.42,0.31,30,127,NO
Strategic Partnerships,Papua,2019Q3,8914.63,5319.28,0.26,0.39,71,373,YES
Sales Support,Sulawesi,2019Q3,8327.91,9052.55,0.26,0.36,55,288,NO
Retail Sales,NTB,2019Q3,3586.42,5894.58,0.15,0.17,26,89,NO
E-commerce Sales,Bali,2019Q3,722.24,6045.2,0.32,0.25,7,33,NO
Enterprise Sales,Jawa,2019Q3,8590.69,5550.37,0.26,0.16,68,116,YES
International Sales,Sumatra,2019Q3,8314.24,6674.62,0.21,0.22,56,186,YES
Sales Administration,Kalimantan,2019Q3,3688.81,2496.35,0.18,0.41,26,65,YES
Sales Engineering,Papua,2019Q3,1356.9,2092.15,0.65,0.36,10,27,NO
Sales Operations,Sulawesi,2019Q3,9725.32,3913.94,0.08,0.22,72,295,YES
Inside Sales,NTB,2019Q3,5003.04,6337.55,0.26,0.22,32,52,NO
Outside Sales,Bali,2019Q3,7133.57,8166.57,0.14,0.17,49,235,NO
Account Management,Jawa,2019Q3,5769.96,2909.62,0.17,0.17,37,142,YES
Business Development,Sumatra,2019Q3,5292.64,6815.99,0.13,0.15,39,195,NO
Sales Enablement,Kalimantan,2019Q3,3749.21,1324.32,0.72,0.56,26,74,YES
Channel Sales,Papua,2019Q3,2368.45,1052.79,0.28,0.42,17,68,YES
Key Accounts,Sulawesi,2019Q3,1902.92,7460.74,0.31,0.23,15,38,NO
Sales Analytics,NTB,2019Q3,11519.53,9089.24,0.18,0.22,90,306,YES
Customer Success,Bali,2019Q3,8116.26,7451.29,0.3,0.2,58,196,YES
Sales Training,Jawa,2019Q3,8765.56,3532.96,0.25,0.31,63,134,YES
Strategic Partnerships,Sumatra,2019Q3,4500.88,3842.1,0.22,0.34,36,183,YES
Sales Support,Kalimantan,2019Q3,7861.8,3507.78,0.17,0.3,54,224,YES
Retail Sales,Papua,2019Q3,6439.98,2530.34,0.31,0.18,46,191,YES
E-commerce Sales,Sulawesi,2019Q3,4106.77,5229.72,0.17,0.32,30,49,NO
Enterprise Sales,NTB,2019Q3,3921.31,5653.15,0.14,0.17,32,54,NO
International Sales,Bali,2019Q3,10528.68,3118.44,0.15,0.21,77,313,YES
Sales Administration,Jawa,2019Q3,447.92,1241.22,0.29,0.52,3,7,NO
Sales Engineering,Sumatra,2019Q3,2264.75,2242.21,0.36,0.41,16,80,YES
Sales Operations,Kalimantan,2019Q3,4089.83,6966.59,0.14,0.23,30,123,NO
Inside Sales,Papua,2019Q3,9252.31,7109.69,0.21,0.19,71,220,YES
Outside Sales,Sulawesi,2019Q3,1562.39,6451.52,0.13,0.19,8,20,NO
Account Management,NTB,2019Q3,4042.14,6532.36,0.15,0.18,33,94,NO
Business Development,Bali,2019Q3,361.52,1973.5,0.2,0.14,3,13,NO
Sales Enablement,Jawa,2019Q3,2487.65,2229.41,0.58,0.48,15,46,YES
Channel Sales,Sumatra,2019Q3,4249.98,2142.72,0.74,0.44,32,127,YES
Key Accounts,Kalimantan,2019Q3,2946.97,3951.66,0.18,0.25,21,38,NO
Sales Analytics,Papua,2019Q3,14403.79,4843.76,0.12,0.25,107,553,YES
Customer Success,Sulawesi,2019Q3,1140.14,3074.94,0.14,0.28,6,10,NO
Sales Training,NTB,2019Q3,4984.35,8456.2,0.21,0.39,34,113,NO
Strategic Partnerships,Bali,2019Q3,4142.61,3410.56,0.35,0.27,29,64,YES
Sales Support,Jawa,2019Q3,6054.29,3564.56,0.42,0.27,47,184,YES
Retail Sales,Sumatra,2019Q3,6883.2,3508.27,0.3,0.22,49,142,YES
E-commerce Sales,Kalimantan,2019Q3,9701.72,11046.79,0.24,0.24,76,173,NO
Enterprise Sales,Papua,2019Q3,2455.25,2562.04,0.15,0.17,17,45,NO
International Sales,Sulawesi,2019Q3,1689.98,2572.1,0.16,0.25,12,25,NO
Sales Administration,NTB,2019Q3,1808.98,2823.53,0.5,0.43,12,29,NO
Sales Engineering,Bali,2019Q3,1380.98,733.56,0.45,0.49,8,41,YES
Sales Operations,Jawa,2019Q3,2831.41,2542.96,0.29,0.18,19,82,YES
Inside Sales,Sumatra,2019Q3,7725.11,4005.71,0.3,0.18,54,200,YES
Outside Sales,Kalimantan,2019Q3,7723.71,9578.85,0.28,0.22,54,231,NO
Account Management,Papua,2019Q3,621.14,6474.49,0.17,0.21,3,14,NO
Business Development,Sulawesi,2019Q3,4005.38,2232.71,0.1,0.17,29,108,YES
Sales Enablement,NTB,2019Q3,2525.99,2605.19,0.78,0.58,17,75,NO
